stationName,about,hasEscalator,hasLift,hasTravelator,transfer,lineAbout,lineID,lineName,routeService
Bilbao,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/estaciones/Bilbao.html,FALSE,FALSE,FALSE,,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea04.html,Nb3d1b35261734a4094b3dc15998b929b,Línea 4,https://www.metromadrid.es/es/index.html
Pozuelo Oeste,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/estaciones/PozueloOeste.html,FALSE,FALSE,FALSE,,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/lineas_y_horarios/metro_ligero02.html,Neb13dbe59034491cbf07a2a8624259e5,ML2,https://www.metromadrid.es/es/index.html
Hospital 12 de Octubre,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/estaciones/Hospital12Octubre.html,TRUE,TRUE,FALSE,,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea03.html,N96d2a943dda34a06938ac20e55e8a7d1,Línea 3,https://www.metromadrid.es/es/index.html
Carabanchel Alto,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/estaciones/CarabanchelAlto.html,TRUE,TRUE,FALSE,,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea11.html,N36bd200a9b0e4765a60f1267d5659fbe,Línea 11,https://www.metromadrid.es/es/index.html
Duque de Pastrana,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/estaciones/DuquePastrana.html,TRUE,FALSE,FALSE,,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea09.html,N15c3932d937e4e1b8cb30623cd1d55a9,Línea 9,https://www.metromadrid.es/es/index.html
Pinar de Chamartín,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/estaciones/PinarChamartin.html,TRUE,TRUE,FALSE,,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea01.html,N813ff9f488234a5abfb50f032d4aec88,Línea 1,https://www.metromadrid.es/es/index.html
Pinar de Chamartín,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/estaciones/PinarChamartin.html,TRUE,TRUE,FALSE,,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea04.html,Nb3d1b35261734a4094b3dc15998b929b,Línea 4,https://www.metromadrid.es/es/index.html
Pinar de Chamartín,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/estaciones/PinarChamartin.html,TRUE,TRUE,FALSE,,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/lineas_y_horarios/metro_ligero01.html,N4cb815f8049449fe85693eff2b8ae520,ML1,https://www.metromadrid.es/es/index.html
Alto del Arenal,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/estaciones/AltoArenal.html,TRUE,TRUE,FALSE,,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea01.html,N813ff9f488234a5abfb50f032d4aec88,Línea 1,https://www.metromadrid.es/es/index.html
Atocha,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/estaciones/Atocha.html,FALSE,FALSE,FALSE, Autobuses Interurbanos,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea01.html,N813ff9f488234a5abfb50f032d4aec88,Línea 1,https://www.metromadrid.es/es/index.html
Estación de Aravaca,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/estaciones/EstacionAravaca.html,FALSE,FALSE,FALSE, Cercanías Renfe,https://www.metromadrid.es//es/viaja_en_metro/red_de_metro/lineas_y_horarios/metro_ligero02.html,Neb13dbe59034491cbf07a2a8624259e5,ML2,https://www.metromadrid.es/es/index.html
